slovo,$F-Factor-1,$F-Factor-2,$F-Factor-3,$F-Factor-4,$F-Factor-5
"E",-0.134786,0.364279,1.264509,0.152158,0.188583
"S",-0.634676,-0.534918,-0.124855,0.083640,-1.851290
"L",-0.005035,-1.153315,-0.765203,1.123446,-0.493980
"Z",0.323884,-1.172925,1.771253,0.589880,-0.024523
"Y",0.002165,1.393108,0.049425,-1.047164,0.381986
"M",-0.199907,-1.191250,-1.047981,0.273323,1.612707
"W",0.466617,1.019586,-1.503816,-1.168489,-0.208170
"D",-0.266197,-0.407700,-0.436507,1.046216,-0.967934
"A",-0.592050,-1.113506,-0.637063,-1.068850,0.170827
"Q",-0.678312,-0.497479,-1.283351,0.876002,-0.615408
"Y",1.701443,0.172840,-0.247261,-0.335842,-0.658766
"X",-0.522017,-0.278472,-0.251112,-0.029713,-0.086253
"V",0.574483,-0.566879,-1.237870,-0.791039,-0.322811
"Y",-1.010682,1.359651,-1.010948,-0.325714,0.270336
"Q",0.511902,-1.007107,-0.363751,0.902295,-0.068882
"E",0.178199,-0.235934,1.477405,3.595982,0.438520
"U",-0.257963,0.312210,-1.911307,1.582599,1.609541
"H",1.348852,-0.985407,0.787853,-1.050789,-0.013882
"G",-0.823619,0.085008,-0.116076,0.516774,0.080248
"O",-0.375240,-0.768299,-0.462403,0.457573,-0.139909
"N",-0.079381,-0.421837,-2.646010,0.387100,1.149771
"V",-2.075269,1.181544,-1.550939,-0.733955,-0.066317
"U",1.334815,1.232295,0.867593,1.193980,1.083196
"I",-0.535086,0.899660,1.945469,-0.528063,1.044171
"F",1.872911,0.124885,-0.092587,0.452302,-2.314708
"V",-0.975682,2.300685,-0.690894,-0.603263,0.015146
"Y",0.598465,0.003072,-0.315132,0.161760,-1.612064
"H",1.417287,-0.775014,-0.114320,0.854444,-0.615239
"L",0.348752,-1.258578,1.681249,0.101893,1.192440
"H",-0.434749,-0.329472,-2.369445,0.187968,1.075806
"X",-0.367710,-0.261676,-0.385329,0.037469,-0.029553
"B",-0.500841,-0.534686,-0.114760,0.435801,-1.568361
"X",2.134238,0.294257,1.300953,0.614679,0.966384
"H",-0.327068,-0.856452,0.632650,-1.216775,-0.176685
"A",-0.193143,-1.273266,-0.372349,-0.751162,0.339056
"N",0.411801,0.600640,-0.774239,0.088208,0.848260
"P",0.852809,1.379234,0.136597,-0.633655,-0.710130
"Z",-1.766265,-0.441130,1.613015,0.315517,-1.364374
"V",0.420442,0.343503,-0.959140,-0.608301,-0.203082
"O",0.311632,0.458672,-0.508517,-0.255541,-0.074584
"J",-1.053029,-0.718977,1.430694,-1.097979,1.852795
"Q",0.066701,-1.119982,-0.860573,0.140892,-0.327713
"J",-1.132294,-0.564040,1.332243,-0.666746,2.084054
"Z",0.007395,0.209663,2.087583,0.344439,-0.446616
"M",1.413598,-0.361327,-0.480718,-1.234396,0.862487
"B",0.904089,-0.617475,0.288506,1.768938,-1.354629
"U",-0.488518,0.438735,-0.835735,0.714432,0.180885
"X",-0.458662,-0.281241,-0.095003,0.003279,-0.098155
"L",-0.121412,-0.894202,0.012152,1.565679,0.215823
"D",-0.112883,-0.026070,-0.605600,0.298506,-0.521388
"Y",-0.590765,1.473121,-0.137700,-0.395652,0.798917
"B",1.004262,0.082765,-0.327530,-0.235542,-1.539166
"L",-0.113930,-1.416795,1.140086,-0.444487,1.348216
"S",-0.338976,-0.309873,0.903382,0.950636,-2.468422
"R",1.008372,-0.979182,-0.463946,0.074681,-0.723032
"O",-0.095166,-0.013993,-0.748480,0.180227,-0.201560
"L",0.626854,-0.397248,-0.208537,0.764597,-0.966051
"Q",-0.422426,-0.429351,-0.519954,0.556826,-0.292315
"Y",0.077882,1.698644,1.237219,-0.318783,-1.305726
"Y",-0.291269,2.363919,0.995607,-0.494491,-1.110683
"B",-1.906371,-0.445284,-0.516069,0.023811,-1.684137
"F",-0.322816,1.865794,1.053974,-0.925936,0.215060
"L",0.754149,-0.665802,0.512505,0.144300,1.493670
"I",-1.979212,-0.252609,-0.174511,-0.205259,0.370734
"J",0.035298,0.254819,2.020924,-0.343436,2.448983
"R",-1.068921,-0.582270,0.467160,-1.060304,-0.322715
"F",0.535594,1.507344,1.320608,-1.406448,0.083338
"X",-0.089305,1.115328,1.196190,0.470196,0.552134
"D",1.127188,-0.425795,-0.261994,-0.990700,-0.707026
"G",-0.316123,-0.499524,-0.398300,1.580271,0.068154
"B",-0.091064,-0.655497,-0.135068,1.280719,-1.490821
"T",0.819274,2.689266,0.696071,-0.730229,-0.437974
"G",-0.827093,-0.262285,-0.037086,0.613955,0.359923
"X",0.302819,-0.233133,-0.022088,0.149886,0.444940
"I",0.259612,-0.243022,0.161624,-1.547778,-1.262122
"P",0.290944,0.479003,-0.434733,0.566412,-0.362158
"G",0.068530,-0.240001,0.315680,1.135750,0.777125
"D",0.597163,-0.160474,-0.146432,-0.198328,-0.753829
"A",0.499395,-1.952077,0.296084,-0.814916,1.199526
"J",-0.299978,-0.510436,0.627049,-1.311786,-0.358521
"K",1.625069,-1.413719,-0.373533,0.782369,-0.803760
"E",0.555905,0.168895,-0.691553,0.845299,-1.792431
"Z",0.824122,-0.510697,2.342183,0.798174,0.475333
"G",0.851299,-1.046174,-1.677539,-0.034171,-0.975669
"T",-0.851511,2.114552,1.282267,-0.762525,-0.892998
"E",-0.199273,-0.458508,0.749377,-0.424533,0.102514
"M",-0.323808,-0.635756,-0.602686,-1.234310,1.017153
"V",1.042031,0.325722,-1.201362,-0.543907,-0.712803
"O",-1.621485,-0.308205,-0.619679,-0.408822,-0.343334
"Y",0.782138,2.499078,0.661043,0.758072,0.824918
"D",0.615275,-0.670512,-0.038175,-0.696317,-1.931759
"V",-0.572446,2.064538,-0.550406,-0.455370,0.305546
"D",0.739088,0.182324,0.067386,0.581590,-0.547035
"S",-0.647345,-0.091876,1.355586,-0.472913,-0.451000
"P",-0.341702,1.007428,1.426810,-1.656309,-0.451754
"K",-1.670735,-0.561320,-1.790938,0.972965,0.905887
"I",0.263974,-1.290481,1.039531,-1.315428,-1.114166
"I",0.953442,-0.379313,1.602778,-1.008075,0.251688
"H",0.238371,0.308443,0.488841,0.127781,0.912636
"O",-1.306335,-0.324615,-0.346046,-0.570084,0.227015
"G",0.643016,-0.284681,0.844169,1.835115,1.751864
"O",0.029365,-0.417661,-0.772625,0.563316,0.471829
"P",-1.628852,1.347903,0.047819,-1.180331,-1.311246
"Z",-1.013200,-0.538587,0.431769,0.997159,-1.801346
"E",1.100541,-0.244350,-0.504418,1.179478,-1.157674
"Q",-0.145315,-1.050867,-0.948858,0.276274,-0.461353
"V",2.060565,-0.386260,-0.257158,0.211814,-1.033023
"X",-0.273368,-0.582126,0.732778,0.696528,-1.239243
"P",-0.380095,1.646955,-0.549656,-0.486169,-0.869387
"E",-0.265235,-0.966365,-0.956976,0.636405,-0.310088
"F",0.800871,-0.176083,-0.276948,-0.082257,-1.705396
"L",-1.003396,-1.062933,-0.536142,1.325858,-0.444973
"W",1.102833,1.361332,-1.133243,-1.046220,-0.458415
"I",-1.879101,-0.239263,0.720691,-0.086665,-0.597519
"E",0.070346,0.146773,0.440511,1.502975,-0.863737
"Y",-0.304401,1.836522,-0.609512,0.021850,1.126687
"O",-0.348498,-0.251186,-0.700638,0.434081,0.115516
"X",0.520960,0.938164,1.148969,0.567110,1.213461
"V",-0.442397,1.393507,-0.984456,0.306464,1.367311
"W",0.954115,0.081302,-2.081908,-1.038955,-0.554626
"R",-0.163608,-0.752172,-0.028566,-0.171950,-0.505283
"J",-1.366719,-0.499672,1.123367,-1.131959,1.916350
"Y",0.348310,2.418663,1.544721,-0.106311,-0.357390
"O",1.113498,-0.266608,-0.806161,0.163899,0.363808
"P",-1.393849,1.097850,-0.122303,-0.527292,-1.132778
"H",-1.917557,-0.371805,-2.133984,-0.425909,0.465816
"U",1.284736,1.533799,0.802588,1.388567,2.224136
"T",-1.428919,1.159755,0.208263,-0.302210,0.369264
"Q",-0.363438,-0.050725,-0.573255,0.401770,-0.243203
"R",-0.602399,-0.921152,0.412272,-0.760547,-0.420007
"N",-0.118128,-0.375962,-2.408619,-0.040481,0.965634
"U",0.383993,-0.300415,-0.819861,-0.526063,0.283342
"O",-1.404207,-0.373170,-0.418217,0.259825,-0.509528
"E",-0.907105,0.150590,1.187303,0.214885,0.011038
"P",1.078757,1.076429,0.246727,-1.630977,-0.952073
"L",0.870645,0.030271,-0.484069,-0.265675,-0.848386
"S",1.253605,0.021974,1.015463,-0.219032,-0.026670
"Y",-1.308527,1.564038,-0.467174,-0.262540,0.428539
"W",1.584407,-0.029276,-1.362062,-0.199836,0.179652
"Y",-1.647380,1.518478,0.290664,0.456448,-0.208024
"Y",-0.631784,1.602068,-0.355614,-0.086105,0.731448
"E",-0.998151,-0.097136,1.009540,-0.082372,0.085058
"F",0.187313,2.392842,0.884948,-1.181348,-0.038492
"D",0.250840,-0.232539,0.154314,-0.526413,-0.554057
"E",-1.246536,-0.719849,0.014233,0.823316,-0.825215
"K",-1.086996,0.066022,0.348663,0.188548,0.899196
"F",-1.103030,1.514552,0.298226,-0.501495,-0.837810
"Z",-0.269911,-0.376930,2.526813,1.829963,-1.494229
"B",0.610768,-0.526313,1.108723,-0.743265,-1.141302
"T",1.275431,-0.792366,-0.314668,0.006129,-0.824372
"H",0.262806,-0.259558,-2.436453,0.174056,1.459781
"H",-0.232283,-0.359330,-2.118680,0.100044,1.135594
"U",-0.059407,1.586628,0.587766,0.432228,1.516511
"P",2.199282,1.025164,-0.365987,-0.774660,-1.665039
"Y",0.439072,-0.619204,-1.103428,-0.630834,-0.467414
"R",0.636623,-0.688240,0.203232,-0.730323,-0.247127
"J",0.151082,-0.607773,1.900770,-1.216635,0.841046
"M",1.800817,0.008492,-1.629964,-1.001067,-0.733196
"J",-0.376466,0.173534,1.745078,-1.194188,1.770754
"V",-0.568359,2.246718,-0.592116,-0.416109,0.175325
"B",-1.232507,-0.064644,0.536544,-1.188147,-0.922520
"A",0.308876,-1.298430,-0.286805,-1.129642,0.562370
"B",0.440030,0.290202,-0.963026,-0.559052,-2.057035
"W",0.515087,0.381308,-1.830531,-1.159198,0.776149
"U",-1.001221,0.455126,-0.514989,0.726737,0.227168
"K",-1.276907,-0.407324,0.189713,0.851375,-0.879455
"E",0.144493,-0.479565,0.324551,0.854256,-0.634122
"I",-1.520429,0.059822,1.747684,-0.845858,0.756846
"K",1.203094,-0.263091,1.142916,-0.367627,0.638585
"A",0.679128,-1.920397,0.401161,-1.805368,1.345998
"K",0.698272,-0.682030,0.221571,2.454898,0.407549
"U",-0.311802,0.452365,-1.947636,1.354391,1.580308
"R",-0.265225,-0.571238,0.358801,-0.920801,-0.633770
"E",0.054254,-0.516973,0.386935,1.438798,-0.558370
"Y",0.290119,1.562377,1.291359,-0.408132,-0.814707
"L",0.456013,-1.244509,1.474612,0.581734,0.264658
"R",0.363767,-0.280664,-1.119296,1.145118,-0.537739
"J",0.133394,-0.461295,2.046030,-0.728087,2.503788
"V",-0.719036,1.235419,-0.670506,0.152317,0.408101
"F",-2.240930,1.382024,-0.107642,-0.688440,-0.302892
"K",-0.854212,-0.441668,0.474468,-0.636994,0.506290
"K",-1.204253,-0.520415,-0.019694,0.869801,-0.741269
"M",0.863568,-0.882221,-1.047341,-0.553567,0.782050
"X",0.049099,-0.248588,-0.192630,-0.028380,0.023609
"Z",-0.687289,-0.444089,1.748306,0.114272,-0.195529
"H",1.693526,0.440392,0.460387,-0.391311,0.193683
"N",-0.118128,-0.375962,-2.408619,-0.040481,0.965634
"U",1.456867,0.298346,-0.591279,0.707738,0.248547
"L",0.227208,-1.002409,0.451777,1.178835,-0.229949
"U",-0.030018,1.387988,0.274133,1.071961,1.142930
"R",-0.671189,-0.414701,-0.901495,0.807732,-0.786819
"B",1.818159,0.242456,-0.709207,-0.062195,-1.845969
"K",0.139215,1.101061,0.872355,1.013464,1.306032
"U",-0.367398,0.457211,-1.829559,1.229175,1.726849
"F",0.677775,1.558008,1.541947,-1.004506,0.220731
"F",-0.942720,1.865177,0.481289,-0.870229,0.116954
"O",-1.651619,-0.522357,-0.651296,0.063718,-0.534726
"L",0.981958,-0.714128,-0.002858,0.525903,-0.872151
"L",-2.340331,-0.934633,-1.314423,0.275182,-1.390661
"W",0.802578,1.400102,-0.653562,-0.665743,0.017722
"W",1.549670,2.115106,-0.322296,0.187032,1.771491
"Y",1.122068,-0.003872,-0.315278,0.634756,-1.457058
"L",-0.147951,-1.090390,-0.168983,0.682289,-1.148474
"O",0.510988,-0.261008,-0.673691,0.441704,0.269563
"G",0.759396,-0.258087,-0.165988,-0.146162,-0.772832
"E",0.213868,-0.295146,1.304942,3.600798,0.400233
"F",0.510691,0.376920,0.334027,-1.525187,-0.409157
"G",-0.796941,-0.335192,-0.078145,0.356164,-0.024872
"P",-1.003072,0.545114,0.217417,-1.701833,-0.770106
"C",-0.757967,0.816825,0.798231,1.082221,1.144898
"V",0.333963,2.097096,-0.423984,0.110715,0.916767
"M",0.670105,-0.723839,-2.382269,-0.525741,1.852248
"V",-1.399851,1.450262,-0.869695,-0.492543,-0.044093
"R",0.363052,-1.216497,-0.735840,0.310868,-0.304222
"B",0.158453,-0.796935,0.713720,-0.571258,-0.765952
"K",1.362041,-0.536027,-0.582737,0.047015,-1.026843
"H",1.268243,0.440993,-0.344615,-0.266238,-0.049416
"A",-0.510554,-2.109666,0.610649,-1.725615,1.227271
"G",1.075493,-0.138672,-0.195460,0.540614,0.195967
"L",0.058293,-1.105078,-0.327314,0.309081,-0.733052
"R",-0.951557,-0.843937,-0.707997,0.879063,-0.218742
"T",-0.518404,1.491703,0.746718,0.260057,0.890254
"C",-1.489219,-0.270274,-0.238022,1.044562,0.322750
"Y",0.435880,2.214099,1.007789,0.411106,0.302885
"M",0.925640,-1.257653,-0.264255,-1.704601,0.644134
"K",-1.402935,-0.586781,0.167790,1.255823,-0.521757
"F",-0.755344,1.619742,1.149151,-1.250829,0.113170
"C",-1.930403,-0.945159,0.370969,2.597521,0.559393
"Q",-2.084487,-0.531887,-1.257917,-0.429261,-0.208995
"Q",1.314051,-1.574008,0.904113,-0.356243,0.011137
"M",0.061113,-0.548734,-2.609366,-0.126393,1.526292
"F",1.171890,-0.043176,1.039993,-0.764459,-0.418694
"O",-0.501100,-0.069192,-0.210092,0.624032,-0.717247
"X",0.120376,-0.503961,1.576984,-0.880884,-0.051867
"Z",-0.301316,-0.560502,1.998772,0.500157,-0.242182
"H",-0.653414,-0.316354,-2.354111,0.534592,1.238396
"C",0.302421,-0.581468,-0.337638,0.382584,0.360210
"G",1.020918,-0.193684,0.475919,1.612500,1.101856
"W",0.348064,0.470154,-1.904733,-0.998131,0.935553
"N",-0.041480,-0.395613,0.209794,-2.263112,-0.255194
"G",0.427112,-1.003585,0.057247,1.911954,-0.118420
"L",-1.224543,-1.030932,-0.422683,1.597200,-0.349031
"X",0.214725,-0.402013,0.426471,0.812892,-1.103854
"O",0.731945,-0.514485,-0.249867,0.715564,0.259403
"L",-2.039841,-1.025484,-1.263532,0.310540,-1.161762
"I",-1.745874,-0.245274,-0.039758,-0.143325,0.652323
"Q",-0.413980,-0.842053,-1.098292,0.250632,-0.692301
"L",-1.743307,-0.976197,1.092346,0.078157,0.194110
"U",0.839390,0.427144,-0.105409,1.058499,0.890246
"M",1.566241,0.338357,-1.286992,0.144169,-1.107196
"P",1.945636,0.790282,0.655200,-1.750237,-0.613490
"H",-0.646279,-0.391287,-2.287355,0.155394,1.320737
"A",-1.993106,-1.621255,-0.681961,-1.909535,0.312308
"X",1.406497,1.621555,1.048794,0.950630,1.191313
"A",-0.912964,-1.308420,-0.331544,-1.315592,-0.066133
"X",1.377310,0.445669,1.554630,0.485023,0.835375
"B",0.396153,-0.650637,0.035201,1.568604,-1.487944
"G",2.001870,0.124903,0.315086,-0.168866,-0.651424
"H",0.509435,-0.157192,-1.156172,-0.655196,-1.736792
"W",1.357518,2.021668,-0.578951,-0.407843,0.608568
"P",1.443939,0.398916,0.538576,-1.890286,-0.742514
"F",-1.362178,0.511003,1.196183,-1.960121,-0.371089
"L",-2.036457,-1.005981,-1.044746,0.391388,-1.358471
"P",-0.860807,0.606359,-0.621381,-0.062626,-0.635911
"B",0.491612,-0.713887,-0.062503,1.844597,-1.173099
"B",0.825264,-0.403127,0.932299,-0.137335,-0.798106
"Z",1.260137,0.140693,2.065557,0.235202,0.070994
"C",-1.479134,0.495964,0.338718,0.969286,0.799990
"R",-1.759468,-0.344947,-1.138696,-0.087618,-0.818864
"I",-1.755707,0.042311,1.603863,-0.806604,0.758041
"V",-0.474064,1.174870,-1.331356,-0.226056,0.880060
"H",1.117809,1.000710,-0.409499,0.291909,-0.135061
"Z",-1.216621,-0.536959,0.521711,0.997974,-1.920910
"J",-1.383190,-0.376703,0.864349,-0.979460,2.209069
"U",-1.313514,0.563615,-0.693027,0.232833,-0.062972
"J",0.097400,-0.265403,1.509381,-0.182706,2.903687
"L",-0.412421,-1.023056,-0.031227,1.483371,0.195117
"E",0.256459,-0.232125,0.299046,0.495189,0.246239
"U",-0.774635,0.988742,0.259733,0.581694,0.608118
"T",-0.576917,2.326820,0.763220,-0.888496,-0.096307
"M",2.515957,0.201039,-0.786614,-0.091506,1.640546
"I",0.220202,-0.558208,2.258731,-0.356554,1.537906
"A",-0.708978,-1.449485,-0.236763,-1.307408,0.191929
"V",0.783907,1.414117,-0.512270,-0.387639,-0.218233
"J",-0.898624,-0.567264,1.171999,-0.748206,2.167212
"S",0.148128,-0.029317,-0.498781,0.726256,-1.548028
"T",-0.294626,1.017081,0.652063,-0.096889,0.637791
"K",1.010840,0.212304,0.835972,-0.165611,0.998035
"Z",0.707284,-0.498074,1.539791,1.532782,-1.357440
"T",1.875465,0.359851,0.273191,1.142344,-2.345401
"R",0.872032,-0.461564,0.059902,0.416990,-0.555190
"W",0.684109,1.280170,-1.673634,-1.180996,-0.361572
"F",0.852529,1.068372,0.985457,-0.957061,-1.197413
"L",-0.505734,-1.045087,-0.376083,1.601084,-0.012248
"L",-1.613138,-0.919837,0.359806,0.391992,-1.107423
"H",1.363041,-0.015143,0.092053,-0.551244,-0.485512
"Y",-0.009808,1.730700,-0.160386,0.236560,1.199475
"M",0.842067,-0.926069,-1.291032,-0.217488,0.994255
"M",1.861856,0.062236,-0.739083,-0.439814,0.913590
"B",-0.050031,-0.501900,0.015424,0.108636,-1.749589
"I",-0.303748,0.871582,2.393900,-1.122291,0.340533
"N",0.580725,0.043326,0.518438,-1.787718,1.864644
"Y",-0.518110,1.944997,1.136659,-0.100440,-1.113888
"K",0.245126,-0.544623,-1.468560,1.741146,1.812627
"B",1.074913,-1.522287,1.115040,-1.171697,-0.047527
"T",-1.255118,2.419461,0.681452,-0.970370,-0.783346
"F",-0.237009,1.566763,1.350326,-1.272519,-0.137463
"Q",0.951109,-1.317663,0.156001,-0.282838,-0.198048
"A",0.952945,-2.368401,-0.004931,0.114336,2.944182
"X",0.884693,-0.087148,0.444973,0.241708,-2.420753
"D",0.373493,-1.108809,0.269509,-0.567715,0.091248
"B",1.044344,-0.610574,1.070156,-0.290437,-0.692350
"L",0.581107,-0.448935,0.233275,0.721488,-0.746395
"E",0.452781,-0.225027,0.622066,0.367758,-0.348110
"B",-0.531213,-0.584783,-0.266122,1.214174,-1.329940
"S",0.334960,-0.996844,1.203659,-0.399592,-0.214616
"R",-0.940708,-0.863787,0.161989,-0.924391,-0.184584
"T",-0.078204,1.851206,1.417654,-0.874570,-0.846464
"R",-0.925902,-0.656909,-0.106722,-0.260736,-0.753430
"X",0.733337,0.204185,0.406064,0.139934,-2.540092
"B",-1.280858,-0.438223,0.307193,-1.184558,-0.383326
"F",-2.100046,1.489814,0.070808,-0.405311,-0.178315
"P",0.592961,0.725795,-0.880186,-0.822612,-1.414409
"K",0.466960,0.988694,0.793061,0.839795,1.483294
"B",0.571421,-1.083794,1.006002,-0.509172,-0.342539
"Q",0.613648,-1.304544,1.114261,0.149161,-0.336293
"O",-0.317878,-0.446754,-0.247752,-0.433797,0.264195
"K",-0.297716,-0.401390,-1.366034,1.365382,0.961285
"U",-0.116427,-0.006149,-0.790802,-0.110300,0.068123
"K",1.092348,-1.331087,0.558160,-0.836358,-0.076922
"K",1.673656,-0.964779,0.641455,-0.686926,-0.201575
"G",-1.470148,-0.163989,-0.503487,0.474202,-0.810318
"O",1.587227,-0.651997,0.280159,0.200905,0.271932
"U",0.594366,0.747003,-0.229051,1.334498,1.302927
"B",0.630210,0.403985,-0.338002,0.285940,-1.297581
"X",0.394268,-1.233779,1.611539,-1.400316,-0.326998
"U",-0.779452,0.091308,-1.743550,0.758741,1.231703
"L",0.301211,-0.720264,1.656259,1.210395,-0.157473
"Y",-0.601879,1.376639,-0.026824,0.812768,-0.093307
"H",0.756765,0.703130,0.534857,-0.013225,0.415625
"J",-0.602614,-0.334448,1.404688,-0.773908,1.106229
"I",-1.195410,0.373994,2.203545,-0.807917,1.007901
"H",-0.031294,-0.451836,-0.151953,0.496943,-0.200058
"B",1.605260,-0.924563,0.416369,0.503724,0.221781
"T",0.043500,2.042564,0.578112,0.901192,0.407694
"R",1.675537,-0.409942,0.047018,-0.293909,-0.410112
"D",-0.815810,-0.031580,0.081605,-0.336318,-0.989019
"M",0.035540,-0.431551,-2.743197,-0.502705,1.606633
"X",-1.577960,-0.437708,-0.472454,-0.503630,-0.695396
"N",-0.601182,0.590896,0.008372,-1.428671,0.918155
"E",-0.011579,0.337505,1.005551,1.098193,-0.159977
"W",0.765306,2.187397,-1.210077,-0.612376,1.154064
"A",0.522322,-1.583215,0.471824,-1.385498,0.936473
"C",0.567115,-0.487819,-0.339318,0.980987,0.258136
"I",-0.786463,-0.206195,1.192047,0.212389,-0.145682
"V",-0.364278,2.101002,-0.203204,0.168557,0.745030
"X",1.693631,-0.382748,0.275301,-0.231847,-1.330651
"A",0.478392,-0.980886,-0.382319,-0.884459,0.506248
"X",-0.665630,-0.754339,1.360116,-1.172209,-0.336475
"E",0.549600,0.424754,1.124043,1.188263,-0.217621
"B",-0.614108,-0.504213,-0.662578,0.832603,-1.441854
"X",1.573613,1.694095,1.121600,0.816486,1.593755
"T",0.846130,0.139066,0.517480,0.776899,-1.670878
"S",-0.464089,-0.705082,0.569198,1.446983,-2.353683
"S",-0.888087,-0.177626,0.980260,-0.659430,-0.897835
"E",-1.427456,0.004820,1.058234,0.206200,-0.025845
"B",0.881835,-0.019680,0.401443,-0.170119,-1.356715
"S",0.562389,-1.499213,0.638556,-0.398368,0.199763
"M",0.305688,-0.951106,-0.651698,-1.965505,0.195274
"J",0.263517,-0.399577,1.929187,-0.512964,2.641380
"S",0.516045,0.990422,0.174657,-0.306512,1.458917
"C",0.005963,-0.682277,0.675891,3.086944,0.945710
"P",1.160974,1.461525,1.038530,-1.505631,-0.727166
"F",0.338392,-0.034097,-0.256201,0.710504,-1.449104
"W",0.166608,1.290762,-1.840392,-0.817646,-0.158983
"L",1.480321,0.464935,-0.374533,0.397804,-1.252179
"K",-1.566176,-0.671620,-1.821497,0.783286,0.777874
"L",-0.611846,-0.969495,-0.081523,1.625460,0.213877
"U",-0.110864,-0.397637,-0.436484,0.067417,-0.111307
"S",2.427786,-1.941475,-0.113612,0.329926,-0.494455
"X",0.450005,-0.178090,0.508120,0.083720,-1.883382
"N",-0.233125,0.641202,-0.645200,-0.558848,-0.337289
"P",-0.511231,1.320694,-0.494510,-0.359597,-0.833114
"T",-0.136837,0.297457,-0.577155,1.142093,0.026138
"T",-1.009927,1.607525,0.211879,0.478701,-0.270833
"U",-0.608862,-0.015025,-0.960355,-0.737065,-0.168771
"B",1.137869,-1.349248,0.340186,-0.156085,0.857502
"M",0.962934,-0.297725,-2.515906,0.005242,2.061001
"J",0.643958,-0.277352,2.020161,-1.555210,1.851632
"W",1.213675,-0.124994,-1.897595,-0.589273,-0.483430
"Q",0.853765,-1.002876,-0.159181,1.077283,-0.077350
"W",1.190132,0.918833,-1.719262,-0.998671,0.935832
"J",-0.608399,-1.905059,0.098070,-0.113019,3.615179
"D",0.524776,0.255285,0.214652,-0.260356,-0.966378
"O",-1.605904,-0.338459,-0.439130,-0.852959,0.109599
"Q",-1.760224,-0.574011,-0.864388,-0.042653,-0.585842
"H",0.852320,0.201875,-0.344552,-0.568925,0.014683
"R",-1.329196,-0.325304,-0.198823,-0.095987,-0.614300
"T",0.566733,0.357617,-0.240674,1.364488,-0.818735
"U",0.246608,0.354998,-2.010650,1.500054,1.868826
"K",-0.689329,-0.419047,-0.099294,1.256234,-0.677894
"L",0.218154,-1.167477,1.351955,1.190466,1.465668
"G",0.331142,0.092854,0.362486,1.358239,1.023777
"X",-0.811044,-0.272909,-0.161622,-0.258285,-0.540901
"Y",-1.230033,2.287145,0.979856,-0.409472,-0.661312
"I",-0.043175,-0.181070,1.461432,0.472702,0.007805
"N",0.041155,0.317296,-0.061427,-1.260101,0.725472
"Y",1.288567,-0.365312,-0.929144,-0.116757,-0.409858
"M",-1.245994,-1.019299,-1.300499,0.045788,0.654078
"E",-1.261054,-0.571379,-0.047365,0.772762,-1.001527
"M",-0.177016,-0.648367,-0.541316,-1.138783,0.853543
"A",-0.546528,-1.798458,-0.328563,-1.019910,0.131623
"R",0.664452,-1.092101,1.059120,-1.303924,0.016280
"H",1.901311,-0.988322,0.589969,-1.486341,0.450970
"I",-1.263717,-0.229798,-0.024140,0.071860,0.763000
"A",-1.111698,-1.987136,0.262649,-1.890987,1.139436
"Z",0.296940,-0.428313,0.945949,1.172117,-1.103325
"S",0.434098,0.059073,-0.211834,1.703841,-1.274431
"C",-0.360325,-0.039766,0.190581,1.929551,1.822131
"R",1.463314,-1.405933,0.664774,-0.236698,0.440923
"D",1.139293,-1.618325,0.849843,-1.250160,1.367228
"L",-0.362155,-1.043225,-0.325105,1.675338,0.111454
"V",-0.574871,1.296057,-1.207418,-0.084634,1.282112
"P",0.680980,-0.135194,0.608867,-1.805453,0.088575
"G",-0.884667,-1.196401,0.093945,0.902804,-0.057984
"H",0.205099,-0.257422,-1.908629,0.355485,1.188917
"U",1.024036,1.125008,0.716624,1.027221,1.312027
"Z",-0.336810,-0.374418,2.333772,1.529059,-1.209971
"S",1.121675,-0.576614,-0.063372,0.797473,-1.196299
"I",0.142519,0.215926,2.393958,-0.489283,1.703613
"C",1.264378,-0.388936,-0.456261,1.272401,0.973252
"C",-0.067527,-0.578730,0.721321,3.031794,1.296048
"X",-0.233511,-0.291822,0.606647,0.116368,-1.693422
"N",1.522901,-0.919505,0.398804,-2.598948,-0.075482
"I",-2.495194,-0.258221,-0.344734,-0.486791,-0.053677
"O",-0.680287,-0.266207,-0.213397,-0.023722,0.067654
"O",-0.096174,-0.716682,-0.038949,-0.705736,-0.850216
"L",-1.000622,-1.125516,-0.529902,0.370882,-1.102985
"V",-0.631053,2.158832,-0.438475,-0.495465,0.371769
"G",-0.061055,-1.758458,0.210286,-2.041766,0.333175
"B",0.208445,-0.062231,-0.953846,0.295232,-1.299206
"N",-1.064673,0.294169,-0.890988,-0.658074,-0.615222
"S",0.738540,0.211852,0.836088,-0.433151,1.878355
"Z",0.214964,-0.102487,-0.006000,-0.601757,-1.978147
"B",-0.394789,-0.350650,0.520920,-0.630659,-1.049190
"I",-0.420500,-0.432223,0.416363,-1.528198,-1.175135
"S",-2.000326,-0.592518,0.231360,0.118348,-2.258685
"D",1.063965,-1.736572,0.761454,-0.667583,1.229929
"O",0.771509,0.046756,-0.020950,0.529953,0.974464
"E",-1.918708,-0.506524,0.408639,1.994370,-0.784470
"P",-0.390337,0.703593,0.768629,-2.038268,-1.096551
"U",0.629215,1.307237,0.525589,1.007469,1.213404
"X",0.165454,-0.225507,-0.324747,0.139650,0.149655
